Segment,State,Category
Gelato,Georgia,Frozen
bakery,Georgia,Baked Goods
Ice Cream,Georgia,Frozen
Cold Pressed Juice,Georgia,Beverage
Kombucha,Georgia,Beverage
Organic Juice,Georgia,Beverage
Coffee,Georgia,Beverage
Organic soda,Georgia,Beverage
Meal prep,Georgia,prepared meals
Meal service,Georgia,prepared meals
meal delivery,Georgia,prepared meals
natural soda,Georgia,Beverage
sparkling water,Georgia,Beverage
nut milk,Georgia,Beverage
meal kit,Georgia,prepared meals
bread,Georgia,Baked Goods
challah,Georgia,Baked Goods
sourdough,Georgia,Baked Goods
babka,Georgia,Baked Goods
charcuterie,Georgia,charcuterie
oyster,Georgia,seafood
salmon ,Georgia,seafood
tuna,Georgia,seafood
seafood,Georgia,seafood
butcher,Georgia,meat
hot sauce,Georgia,condiment
beef,Georgia,meat